row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r01069,160,胡萝萄,lu11lo55dau52,wu2;wu2;wu2;wu2lo2,,,True,result_all_converted.xlsx
r01070,160,白菜,baq1tshe55,,,baʔtsʰl,True,result_all_converted.xlsx
r01071,160,高脚白,kau33ciaq5baq54,,一种梗多的白菜,kɒtɕiaʔbaʔk,True,result_all_converted.xlsx
r01072,160,矮黄头,a335huaon55deu52,waon2,种叶多白菜,kaɦŋidll,True,result_all_converted.xlsx
r01073,160,菜,tshe33,,菜心,tsʰʑ,True,result_all_converted.xlsx
r01074,160,小白菜,shiau335baq5tshe52,,,ɕiɒbaʔtsʰ,True,result_all_converted.xlsx
r01075,160,菠菜,po33tshe55,,,ilipotsʰ,True,result_all_converted.xlsx
r01076,160,鸡毛菜,ci33mhau55tshe52,mhau1;mau2,,tɕimɒtsʰ,True,result_all_converted.xlsx
r01077,160,胶菜,kau33tshe55,kau1;ciau1,大白菜,kɒtsʰi,True,result_all_converted.xlsx
r01078,160,黄芽白,huaon33ngo55baq54,waon2,,iliɦuɒŋŋobaʔ,True,result_all_converted.xlsx
r01079,160,卷心菜,cioen335shin55tshe52,cioen5;cioen5,,tɕiø̃ɕiŋsʰ,True,result_all_converted.xlsx
r01080,160,包心菜,pa33shin55tshe52,pau1,卷心菜,pɒɕiŋtsʰk,True,result_all_converted.xlsx
r01081,160,花菜,huo33tshe55,,菜花,huotsʰ,True,result_all_converted.xlsx
r01082,160,油德儿菜,yeu11teoq5gni55tshe52,yeu2;yeu612;ghi2;i2,食用的油菜,ɦiɤtəʔltsʰlllll,True,result_all_converted.xlsx
r01083,161,油菜,yeu11tshe55,yeu2;yeu6,油菜心,ɦitsʰlfl,True,result_all_converted.xlsx
r01084,161,油菜,yeu11tshe55,yeu2;yeu6,榨油用的油菜,ɦitsʰlfl,True,result_all_converted.xlsx
r01085,161,芹菜,jin11tshe55,,,dʑiŋʔtsʰ,True,result_all_converted.xlsx
r01086,161,水芹菜,sy335jin55tshe52,sy3;se3,,ktsdʑiŋtsʰ,True,result_all_converted.xlsx
r01087,161,药芹菜,yaq1jin55tshe52,,,ɦiaʔdiŋtsʰlkl,True,result_all_converted.xlsx
r01088,161,芥菜,ka33tshe33,,,katsʰ,True,result_all_converted.xlsx
r01089,161,雪里,shiq3li55,li4;114;li4,,liiʔlihuoŋk,True,result_all_converted.xlsx
r01090,161,雪里菜,shiq3li55tshe52,li4;114;li4,,iɕiʔlihoŋtsʰ,True,result_all_converted.xlsx
r01091,161,苋菜,haen33tshe33,haen5;shien5,,htsʰ,True,result_all_converted.xlsx
r01092,161,苋菜梗,haen33tshe33kuaon33,haen5;shien5kuaon3;keon3,,khæ̃tsʰkuaŋ,True,result_all_converted.xlsx
r01093,161,荠菜,zhi11tshe55,21112;zhi4,,zitsʰ,True,result_all_converted.xlsx
r01094,161,马兰头,mha33laen55deu52,mha1;mo4,,molæ̃df,True,result_all_converted.xlsx
r01095,161,一种野菜,iq3tson55ya55tshe52,tson3;tson5,,,True,result_all_converted.xlsx
r01096,161,韭菜,cieu335tshe52,,,tɕivtsʰ,True,result_all_converted.xlsx
r01097,161,韭芽,cieu335ngo52,,,ltɕiɤŋo,True,result_all_converted.xlsx
r01098,161,黄芽韭菜,huaon33ngo55cieu55tshe52,waon2,,,True,result_all_converted.xlsx
r01099,161,葱,tshon52,,小葱,tsʰoŋli,True,result_all_converted.xlsx
r01100,161,葱头,tshon33deu52,,葱白,ltsʰoŋdɤil,True,result_all_converted.xlsx
r01101,161,大葱,da11tshon11,do6,,datsʰoŋ,True,result_all_converted.xlsx
